Country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,c,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age,year,"Population, total",GDP per capita (constant 2015 US$),GNI (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),obs_true_val,Military_Cost,obs_true_val_grpd,Life_excpet_grp,Inflation_grp,Military_Cost_grp
Albania,AL,ALB,8,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2009,99.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2009,2927519,3432.169973,11852739421,2.266922095,77.781,1.51721714,9930,5207.347109,5k-10k,>65,<=10,<=10k
Albania,AL,ALB,8,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,99.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2018,2866376,4431.539181,15137993151,2.028059631,79.184,1.160544785,9980,5142.999686,5k-10k,>65,<=10,<=10k
Algeria,DZ,DZA,12,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2006,95.2,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2006,33435080,3783.314204,1.13E+11,2.311499185,72.334,2.643807548,9520,10002.35465,5k-10k,>65,<=10,11k-20k
Algeria,DZ,DZA,12,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2013,96.6,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2013,38000626,4057.766137,2.06E+11,3.25423911,74.615,4.844508917,9660,19657.88423,5k-10k,>65,<=10,11k-20k
Algeria,DZ,DZA,12,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,98.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2019,42705368,4153.004816,1.68E+11,1.951768211,76.474,6.021045994,9880,25005.43301,5k-10k,>65,<=10,>20k
Andorra,AD,AND,20,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2015,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2015,71746,38885.37601,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Andorra,AD,AND,20,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2016,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2016,72540,39886.4818,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Andorra,AD,AND,20,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2017,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2017,73837,39321.45827,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Angola,AO,AGO,24,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2007,47.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2007,20909684,2844.818355,57667405227,12.25149745,53.642,3.114054493,4730,8858.919379,2k-5k,36-65,Nov-20,<=10k
Angola,AO,AGO,24,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2016,49.6,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2016,29154746,2914.415459,47241256785,30.69895786,61.092,2.733340655,4960,7966.09026,2k-5k,36-65,>20,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2010,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2012,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2013,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2014,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2015,98.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,9880,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2016,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2017,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Anguilla,AI,AIA,660,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,,,0,0,0,0,0,10000,0,5k-10k,0-35,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2000,99.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2000,75055,14247.97301,781851481.5,0.771779797,74.606,0,9990,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2001,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2001,76215,13392.98172,775693333.3,1.402796636,75.078,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2003,99,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2003,78075,14010.84906,817700000,1.993530552,75.478,0,9900,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2004,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2004,78941,14656.29262,874644296.3,2.030077579,75.672,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2005,99.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2005,79869,15423.80002,980922740.7,2.098751967,75.825,0,9990,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2006,99.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2006,80895,17163.39783,1110919630,1.787785374,75.765,0,9990,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2007,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2007,82016,18505.79067,1260091852,1.416052594,76.131,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2008,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2008,83251,18228.64913,1308986333,5.333806398,76.41,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2009,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2009,84534,15804.44514,1177509333,-0.550159996,76.669,0,10000,0,5k-10k,>65,,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2010,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2010,85695,14367.9515,1120979667,3.370025402,76.82,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2012,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2012,87674,14232.96959,1160321815,3.376880443,77.35,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2013,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2013,88497,14015.87931,1142788111,1.059497824,77.583,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2014,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2014,89236,14427.40691,1188978481,1.089441574,77.858,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2015,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2015,89941,14861.88271,1252478556,0.968993459,77.913,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2017,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2017,91119,15962.68012,1389228037,2.43248789,78.268,0,10000,0,5k-10k,>65,<=10,<=10k
Antigua and Barbuda,AG,ATG,28,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,99,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2020,92664,14040.36755,1345593296,0.625989707,78.841,0,9900,0,5k-10k,>65,<=10,<=10k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2000,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2000,37070774,10672.72204,2.77E+11,0,73.926,1.148822677,9910,12261.0651,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2001,98.4,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2001,37480493,10090.65344,2.61E+11,0,74.186,1.184233542,9840,11949.69027,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2002,98.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2002,37885028,8895.319642,92763789033,0,74.408,1.091880479,9890,9712.625868,5k-10k,>65,<=10,<=10k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2003,98.7,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2003,38278164,9581.969792,1.22E+11,0,74.08,1.060895057,9870,10165.46439,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2004,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2004,38668796,10341.64341,1.46E+11,0,74.855,0.883295359,9910,9134.725623,5k-10k,>65,<=10,<=10k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2005,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2005,39070501,11141.31067,1.76E+11,0,75.139,0.847154784,9910,9438.414634,5k-10k,>65,<=10,<=10k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2006,99.4,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2006,39476851,11913.95853,2.25E+11,0,75.433,0.788233877,9940,9390.98573,5k-10k,>65,<=10,<=10k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2007,99.4,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2007,39876111,12857.09258,2.80E+11,0,75.006,0.792548175,9940,10189.86526,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2008,94.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2008,40273769,13246.63489,3.53E+11,0,75.641,0.762756475,9480,10103.95654,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2009,97.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2009,40684338,12336.86194,3.23E+11,0,75.936,0.886508577,9790,10936.73392,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2010,95,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2010,40788453,13551.33919,4.09E+11,0,75.721,0.814878105,9500,11042.68961,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2011,97.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2011,41261490,14200.26989,5.15E+11,0,76.124,0.764287094,9710,10853.08301,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2012,98.2,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2012,41733271,13895.63371,5.33E+11,0,76.467,0.784824721,9820,10905.63685,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2013,97,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2013,42202935,14071.50868,5.40E+11,0,76.491,0.83773643,9700,11788.21545,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2014,99.6,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2014,42669500,13567.94842,5.16E+11,0,76.755,0.878100919,9960,11914.02798,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2015,99.6,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2015,43131966,13789.06042,5.84E+11,0,76.76,0.850128583,9960,11722.4744,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2016,98.4,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2016,43590368,13360.21183,5.45E+11,0,76.308,0.813140078,9840,10863.72369,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2017,93.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2017,44044811,13595.03736,6.27E+11,0,76.833,0.856137916,9390,11639.22695,5k-10k,>65,<=10,11k-20k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,99.5,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2018,44494502,13105.39716,5.06E+11,0,76.999,0.745498855,9950,9770.058579,5k-10k,>65,<=10,<=10k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2019,99.6,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2019,44938712,12716.2242,4.30E+11,0,77.284,0.706186671,9960,8980.028032,5k-10k,>65,<=10,<=10k
Argentina,AR,ARG,32,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,98.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2020,45376763,11341.26837,3.76E+11,0,75.892,0.726855652,9880,8243.465017,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2000,96.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2000,3168523,1249.612148,1970535936,-0.790883769,70.624,3.560024873,9680,4448.650326,5k-10k,>65,,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2001,98.4,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2001,3133133,1385.044814,2182070541,3.145904647,70.932,3.127249385,9840,4331.380544,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2002,98.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2002,3105037,1582.057645,2458706348,1.060049293,71.018,2.697714749,9880,4267.940242,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2003,99.2,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2003,3084102,1815.788251,2899936468,4.721553366,71.436,2.728372214,9920,4954.14621,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2004,99.5,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2004,3065745,2018.46017,3724967487,6.961261359,71.421,2.741996705,9950,5534.611136,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2005,97.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2005,3047246,2312.982895,5106476348,0.638928002,71.792,2.871931363,9780,6642.728119,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2006,99.7,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2006,3026486,2636.256687,6686478486,2.892356625,71.987,2.947613156,9970,7770.664893,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2007,99.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2007,3004393,3019.465605,9703722527,4.407360896,72.327,3.042574701,9990,9186.949661,5k-10k,>65,<=10,<=10k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2008,99.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2008,2983421,3250.498659,12353321002,8.949953354,72.398,3.395579363,9990,11037.32616,5k-10k,>65,<=10,11k-20k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2009,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2009,2964296,2810.192882,9006718249,3.406766827,72.813,4.157049908,10000,11682.11206,5k-10k,>65,<=10,11k-20k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2010,99.5,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2010,2946293,2889.56627,9718566138,8.176361385,73.16,4.265646056,9950,12325.86697,5k-10k,>65,<=10,11k-20k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2011,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2011,2928976,3043.262831,10502184909,7.650008079,73.305,3.853946441,10000,11728.57196,5k-10k,>65,<=10,11k-20k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2012,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2012,2914421,3278.670496,11042356185,2.558020078,73.454,3.583766919,10000,11749.99086,5k-10k,>65,<=10,11k-20k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2013,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2013,2901385,3402.083904,11804012824,5.789667785,73.676,3.997244557,10000,13598.96137,5k-10k,>65,<=10,11k-20k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2014,100,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2014,2889930,3538.529444,12131728949,2.981308689,74.058,3.943378265,10000,13953.7601,5k-10k,>65,<=10,11k-20k
Armenia,AM,ARM,51,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2016,99.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2016,2865835,3689.830136,10791194736,-1.403607559,74.664,4.090349217,9980,15092.69381,5k-10k,>65,,11k-20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2000,99.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2000,19028802,45893.81175,4.04E+11,4.457435148,79.23414634,1.829841913,9930,83978.42026,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2001,99.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2001,19274701,46233.24851,3.69E+11,4.407135362,79.63414634,1.870093879,9930,86460.51504,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2002,99.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2002,19495210,47535.78957,3.85E+11,2.981574539,79.93658537,1.873964621,9930,89080.38787,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2003,99.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2003,19720737,48454.2822,4.54E+11,2.732595966,80.23902439,1.846289689,9930,89460.64161,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2004,99.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2004,19932722,49960.38024,5.97E+11,2.343255225,80.4902439,1.827410769,9930,91298.13689,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2005,99.4,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2005,20176844,50912.4669,6.70E+11,2.691831683,80.84146341,1.80249268,9940,91769.34888,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2006,99.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2006,20450966,51606.66553,7.19E+11,3.555287737,81.04146341,1.822330926,9930,94044.42258,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2007,99.2,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2007,20827622,52587.786,8.16E+11,2.327611289,81.29268293,1.815342245,9920,95464.82949,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2008,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2008,21249199,53383.7075,1.01E+12,4.35029855,81.39512195,1.798547172,9910,96013.11614,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2009,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2009,21691653,53272.98473,8.96E+11,1.771117166,81.54390244,1.926908956,9910,102652.1914,5k-10k,>65,<=10,
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2010,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2010,22031750,53607.98476,1.10E+12,2.918340027,81.69512195,1.856791362,9910,99538.84306,5k-10k,>65,<=10,>20k
Australia,AU,AUS,36,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2011,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2011,22340024,54132.52175,1.34E+12,3.303850156,81.89512195,1.757078228,9910,95115.0754,5k-10k,>65,<=10,>20k
